Unnamed: 0,id,locality,postal_code,region,province,type_of_property,subtype_of_property,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
58398,10111978,Aalst,9300,Flanders,East Flanders,1,HOUSE,249000.0,2.0,155.0,NO_INFO,-1,,0,1.0,,1.0,,250.0,,0.0,1
1736,10150884,Mettet,5640,Wallonie,Namur,1,HOUSE,399000.0,5.0,295.0,INSTALLED,INSTALLED,0.0,0,1.0,35.0,1.0,,1669.0,4.0,,1
35277,10018604,Antwerp,2050,Flanders,Antwerp,0,APARTMENT,199000.0,2.0,82.0,NO_INFO,-1,0.0,0,,,,,,2.0,,1
60589,10037789,Aalst,9300,Flanders,East Flanders,1,HOUSE,175000.0,2.0,140.0,SEMI_EQUIPPED,SEMI_EQUIPPED,,0,1.0,,,,301.0,2.0,,0
51444,10004756,Meise,1860,Flanders,Flemish Brabant,1,HOUSE,445000.0,4.0,256.0,HYPER_EQUIPPED,1,0.0,0,,,,,870.0,,0.0,1
58396,8368093,Oudenaarde,9700,Flanders,East Flanders,0,APARTMENT,524192.0,2.0,149.0,INSTALLED,INSTALLED,0.0,0,1.0,50.0,1.0,42.0,,,,1
11957,10019837,Antoing,7641,Wallonie,Hainaut,1,HOUSE,99000.0,2.0,65.0,INSTALLED,INSTALLED,,0,,,1.0,155.0,180.0,2.0,0.0,1
5663,9555516,Uccle,1180,Brussels,Brussels,1,HOUSE,3690000.0,5.0,360.0,NO_INFO,-1,0.0,0,1.0,,1.0,720.0,915.0,3.0,0.0,1
23772,10126216,Waterloo,1410,Wallonie,Walloon Brabant,1,VILLA,825000.0,5.0,236.0,INSTALLED,INSTALLED,0.0,0,1.0,,1.0,1433.0,1433.0,4.0,0.0,1
51594,9795711,Aarschot,3200,Flanders,Flemish Brabant,0,PENTHOUSE,410000.0,2.0,144.0,HYPER_EQUIPPED,1,0.0,0,1.0,6.0,,,,3.0,,1
49684,10019848,Diest,3290,Flanders,Flemish Brabant,1,HOUSE,369000.0,3.0,165.0,INSTALLED,INSTALLED,0.0,0,,,1.0,,0.0,4.0,,1
56543,10071248,Zottegem,9620,Flanders,East Flanders,0,LOFT,299000.0,2.0,212.0,NO_INFO,-1,0.0,0,,,,,,2.0,0.0,1
5471,10124887,Ganshoren,1083,Brussels,Brussels,0,APARTMENT,249000.0,2.0,81.0,HYPER_EQUIPPED,1,0.0,0,1.0,8.0,1.0,300.0,,2.0,0.0,1
17941,10138458,Frasnes-lez-Gosselies,6210,Wallonie,Hainaut,1,HOUSE,149000.0,2.0,105.0,INSTALLED,INSTALLED,0.0,0,,,1.0,490.0,640.0,3.0,0.0,1
19274,9924928,Hamoir,4180,Wallonie,Liège,0,APARTMENT,189000.0,2.0,89.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,1.0,10.0,1.0,900.0,,,,1
48268,10123012,Heppen,3971,Flanders,Limburg,1,HOUSE,370000.0,3.0,200.0,INSTALLED,INSTALLED,0.0,1,,,,,0.0,4.0,,1
54476,10060852,Wichelen,9260,Flanders,East Flanders,1,HOUSE,145000.0,1.0,84.0,SEMI_EQUIPPED,SEMI_EQUIPPED,,0,,,1.0,180.0,373.0,3.0,0.0,0
56386,10144456,SINT-NIKLAAS,9100,Flanders,East Flanders,0,APARTMENT,360750.0,2.0,109.0,INSTALLED,INSTALLED,0.0,0,1.0,34.0,,,,4.0,,1
37705,10096267,Damme,8340,Flanders,West Flanders,1,COUNTRY_COTTAGE,1195000.0,6.0,424.0,USA_HYPER_EQUIPPED,1,0.0,1,,,1.0,,5420.0,4.0,0.0,1
